iter	Passed	Remaining
426	833	1118
427	834	1115
428	835	1111
429	836	1108
430	837	1105
431	838	1102
432	839	1099
433	840	1096
434	841	1092
435	842	1089
436	843	1086
437	844	1083
438	845	1079
439	845	1076
440	846	1073
441	847	1069
442	848	1066
443	849	1063
444	850	1060
445	851	1057
446	851	1053
447	852	1050
448	853	1047
449	854	1044
450	855	1040
451	855	1037
452	856	1034
453	857	1031
454	858	1028
455	859	1025
456	860	1022
457	861	1019
458	862	1016
459	863	1014
460	864	1011
461	866	1008
462	867	1005
463	868	1002
464	868	999
465	869	996
466	870	993
467	871	990
468	872	987
469	873	984
470	873	981
471	874	978
472	875	975
473	876	972
474	877	969
475	878	966
476	879	963
477	879	960
478	880	957
479	881	954
480	882	952
481	883	949
482	883	946
483	884	943
484	885	940
485	886	937
486	887	934
487	888	931
488	888	928
489	889	926
490	890	923
491	891	920
492	893	918
493	894	916
494	895	913
495	896	910
496	897	907
497	897	905
498	898	902
499	899	899
500	900	896
501	901	893
502	901	891
503	902	888
504	903	885
505	904	883
506	905	880
507	906	877
508	907	875
509	908	872
510	909	869
511	909	867
512	910	864
513	911	861
514	912	859
515	913	856
516	914	854
517	916	852
518	917	850
519	918	847
520	919	845
521	921	843
522	922	841
523	923	839
524	924	836
525	926	834
526	927	832
527	928	830
528	929	828
529	931	826
530	933	824
531	934	822
532	935	819
533	936	817
534	938	815
535	939	813
536	940	811
537	941	808
538	942	806
539	943	803
540	944	801
541	945	798
542	946	796
543	947	794
544	948	791
545	949	789
546	950	786
547	951	784
548	952	782
549	953	779
550	954	777
551	955	775
552	956	773
553	957	770
554	958	768
555	959	766
556	960	764
557	961	761
558	962	759
559	963	757
560	964	754
561	965	752
562	966	750
563	967	747
564	968	745
565	969	743
566	970	740
567	970	738
568	971	735
569	972	733
570	973	731
571	974	729
572	975	727
573	976	724
574	977	722
575	978	720
576	979	717
577	980	715
578	981	713
579	981	711
580	982	708
581	983	706
582	984	704
583	985	702
584	987	700
585	988	698
586	989	696
587	990	694
588	991	691
589	992	689
590	993	687
591	994	685
592	995	683
593	996	681
594	997	678
595	998	676
596	999	674
597	1000	672
598	1001	670
599	1003	669
600	1005	667
601	1006	665
602	1008	663
603	1009	661
604	1011	660
605	1012	658
606	1013	656
607	1016	655
608	1019	654
609	1022	653
610	1023	651
611	1024	649
612	1025	647
613	1027	645
614	1028	643
615	1029	641
616	1031	640
617	1032	638
618	1033	636
619	1035	634
620	1036	632
621	1037	630
622	1039	628
623	1040	626
624	1041	625
625	1043	623
626	1044	621
627	1046	619
628	1047	618
629	1050	616
630	1052	615
631	1053	613
632	1055	611
633	1057	610
634	1059	608
635	1065	609
636	1067	608
637	1069	606
638	1071	605
639	1073	603
640	1075	602
641	1076	600
642	1078	598
643	1079	596
644	1080	594
645	1082	592
646	1083	591
647	1085	589
648	1086	587
649	1087	585
650	1089	583
651	1090	581
652	1091	580
653	1092	578
654	1094	576
655	1095	574
656	1097	572
657	1098	570
658	1100	569
659	1101	567
660	1103	565
661	1104	563
662	1105	561
663	1106	560
664	1108	558
665	1109	556
666	1110	554
667	1112	552
668	1114	551
669	1116	549
670	1117	547
671	1119	546
672	1120	544
673	1122	542
674	1124	541
675	1126	539
676	1128	538
677	1129	536
678	1130	534
679	1132	532
680	1133	530
681	1134	529
682	1135	527
683	1137	525
684	1138	523
685	1140	521
686	1141	520
687	1142	518
688	1144	516
689	1145	514
690	1146	512
691	1147	510
692	1149	509
693	1150	507
694	1151	505
695	1153	503
696	1154	501
697	1155	499
698	1155	497
699	1156	495
700	1157	493
701	1158	491
702	1159	489
703	1160	487
704	1160	485
705	1161	483
706	1162	481
707	1163	479
708	1164	477
709	1165	475
710	1165	473
711	1166	471
712	1167	470
713	1168	468
714	1169	466
715	1170	464
716	1170	462
717	1171	460
718	1172	458
719	1173	456
720	1174	454
721	1175	452
722	1176	450
723	1177	448
724	1178	446
725	1178	444
726	1179	443
727	1180	441
728	1181	439
729	1182	437
730	1183	435
731	1184	433
732	1185	431
733	1186	429
734	1187	428
735	1188	426
736	1188	424
737	1189	422
738	1190	420
739	1191	418
740	1192	416
741	1193	414
742	1193	412
743	1194	411
744	1195	409
745	1196	407
746	1197	405
747	1198	403
748	1199	401
749	1200	400
750	1200	398
751	1201	396
752	1202	394
753	1203	392
754	1204	390
755	1205	388
756	1205	387
757	1206	385
758	1207	383
759	1208	381
760	1209	380
761	1211	378
762	1212	376
763	1213	374
764	1213	372
765	1214	371
766	1215	369
767	1216	367
768	1217	365
769	1217	363
770	1219	362
771	1219	360
772	1220	358
773	1221	356
774	1222	354
775	1223	353
776	1225	351
777	1226	349
778	1227	348
779	1229	346
780	1230	344
781	1231	343
782	1232	341
783	1233	339
784	1233	337
785	1234	336
786	1235	334
787	1236	332
788	1237	330
789	1238	329
790	1239	327
791	1239	325
792	1240	323
793	1241	322
794	1242	320
795	1243	318
796	1244	316
797	1244	315
798	1245	313
799	1246	311
800	1247	309
801	1248	308
802	1249	306
803	1250	304
804	1251	303
805	1253	301
806	1254	299
807	1255	298
808	1255	296
809	1256	294
810	1257	293
811	1258	291
812	1259	289
813	1260	287
814	1261	286
815	1262	284
816	1263	282
817	1263	281
818	1264	279
819	1265	277
820	1266	276
821	1267	274
822	1268	272
823	1269	271
824	1270	269
825	1271	267
826	1272	266
827	1272	264
828	1273	262
829	1274	261
830	1275	259
831	1276	257
832	1277	256
833	1277	254
834	1278	252
835	1279	251
836	1280	249
837	1281	247
838	1282	246
839	1283	244
840	1284	242
841	1284	241
842	1285	239
843	1286	237
844	1287	236
845	1288	234
846	1288	232
847	1289	231
848	1290	229
849	1291	227
850	1292	226
851	1293	224
852	1294	223
853	1295	221
854	1296	219
855	1298	218
856	1299	216
857	1300	215
858	1301	213
859	1302	212
860	1303	210
861	1304	208
862	1306	207
863	1308	205
864	1310	204
865	1311	202
866	1313	201
867	1314	199
868	1316	198
869	1317	196
870	1319	195
871	1320	193
872	1322	192
873	1323	190
874	1325	189
875	1327	187
876	1328	186
877	1330	184
878	1331	183
879	1332	181
880	1334	180
881	1335	178
882	1337	177
883	1338	175
884	1340	174
885	1342	172
886	1343	171
887	1345	169
888	1346	168
889	1347	166
890	1349	165
891	1350	163
892	1352	162
893	1353	160
894	1355	159
895	1357	157
896	1358	155
897	1359	154
898	1361	152
899	1362	151
900	1364	149
901	1365	148
902	1367	146
903	1368	145
904	1370	143
905	1371	142
906	1373	140
907	1374	139
908	1376	137
909	1377	136
910	1378	134
911	1380	133
912	1381	131
913	1383	130
914	1384	128
915	1385	127
916	1387	125
917	1388	124
918	1389	122
919	1391	120
920	1392	119
921	1394	117
922	1395	116
923	1397	114
924	1399	113
925	1400	111
926	1402	110
927	1403	108
928	1405	107
929	1407	105
930	1408	104
931	1410	102
932	1412	101
933	1413	99
934	1415	98
935	1416	96
936	1418	95
937	1419	93
938	1420	92
939	1422	90
940	1423	89
941	1425	87
942	1426	86
943	1427	84
944	1428	83
945	1429	81
946	1430	80
947	1431	78
948	1432	76
949	1433	75
950	1434	73
951	1435	72
952	1436	70
953	1437	69
954	1437	67
955	1438	66
956	1439	64
957	1440	63
958	1441	61
959	1443	60
960	1444	58
961	1445	57
962	1446	55
963	1447	54
964	1448	52
965	1449	51
966	1450	49
967	1451	47
968	1452	46
969	1452	44
970	1454	43
971	1455	41
972	1456	40
973	1457	38
974	1458	37
975	1458	35
976	1459	34
977	1460	32
978	1461	31
979	1462	29
980	1463	28
981	1464	26
982	1465	25
983	1466	23
984	1467	22
985	1468	20
986	1469	19
987	1470	17
988	1471	16
989	1472	14
990	1473	13
991	1474	11
992	1474	10
993	1475	8
994	1476	7
995	1477	5
996	1478	4
997	1479	2
998	1479	1
999	1480	0
